Time,Bus Voltage,Battery Voltage,Current,Power,Temperature,Humidity
570.76,3.46,3.4,523.8,1808.0,22.6,33.7
572.77,3.45,3.4,523.8,1808.0,22.7,33.8
574.78,3.46,3.4,524.1,1808.0,22.6,33.5
576.79,3.46,3.4,524.3,1816.0,22.7,33.3
578.8,3.46,3.4,524.2,1812.0,22.6,33.4
580.81,3.46,3.41,524.0,1812.0,22.6,33.6
582.82,3.46,3.41,524.1,1808.0,22.6,33.8
584.83,3.46,3.41,524.2,1816.0,22.6,33.8
586.84,3.46,3.41,523.8,1816.0,22.6,33.7
588.85,3.46,3.41,524.2,1816.0,22.6,33.9
590.86,3.46,3.41,523.8,1816.0,22.6,33.6
592.87,3.46,3.41,524.1,1816.0,22.7,33.6
594.88,3.46,3.41,524.1,1818.0,22.6,33.6
596.89,3.46,3.41,523.9,1816.0,22.7,33.8
598.89,3.47,3.42,523.8,1816.0,22.7,33.7
600.9,3.47,3.42,523.9,1816.0,22.6,33.3
602.91,3.47,3.42,524.1,1816.0,22.7,33.9
604.92,3.47,3.42,524.1,1818.0,22.6,33.4
606.93,3.47,3.42,523.9,1818.0,22.6,33.6
608.94,3.47,3.42,523.8,1818.0,22.6,33.4
610.95,3.48,3.42,524.0,1818.0,22.6,33.7
612.96,3.48,3.42,523.8,1822.0,22.6,33.4
614.97,3.48,3.42,524.2,1822.0,22.6,33.5
616.98,3.48,3.42,524.0,1822.0,22.6,33.6
618.99,3.48,3.42,523.8,1822.0,22.6,33.4
621.0,3.48,3.42,524.2,1822.0,22.6,33.6
623.01,3.48,3.43,524.2,1826.0,22.6,33.8
625.02,3.48,3.43,524.0,1822.0,22.6,33.6
627.03,3.48,3.43,524.0,1822.0,22.7,33.7
629.04,3.48,3.43,523.7,1826.0,22.6,33.4
631.05,3.48,3.43,524.0,1826.0,22.6,33.4
633.06,3.48,3.43,524.2,1826.0,22.6,33.6
635.07,3.49,3.44,524.1,1826.0,22.6,33.8
637.08,3.49,3.44,524.3,1826.0,22.6,33.6
639.09,3.48,3.43,523.3,1826.0,22.6,33.9
641.09,3.49,3.44,522.9,1826.0,22.6,33.6
643.1,3.49,3.44,524.0,1828.0,22.7,33.4
645.11,3.49,3.44,524.0,1828.0,22.6,33.4
647.12,3.49,3.44,523.8,1828.0,22.6,33.8
649.13,3.49,3.44,522.9,1828.0,22.6,33.6
651.14,3.5,3.44,524.0,1832.0,22.6,33.5
653.15,3.5,3.44,523.4,1828.0,22.6,33.5
655.16,3.49,3.44,523.6,1828.0,22.6,33.8
657.17,3.5,3.44,523.3,1828.0,22.6,33.8
659.18,3.5,3.44,523.0,1828.0,22.7,33.9
661.19,3.5,3.44,523.8,1832.0,22.6,33.5
663.2,3.5,3.44,523.8,1832.0,22.6,33.9
665.21,3.5,3.45,523.9,1832.0,22.6,33.9
667.22,3.5,3.45,523.3,1828.0,22.6,33.6
669.23,3.5,3.45,523.5,1832.0,22.6,33.5
671.24,3.5,3.45,524.3,1832.0,22.6,33.7
673.25,3.5,3.45,523.7,1836.0,22.6,33.5
675.26,3.5,3.45,523.5,1836.0,22.7,33.8
677.26,3.5,3.45,523.2,1832.0,22.6,33.7
679.27,3.5,3.45,523.5,1836.0,22.7,33.8
681.28,3.5,3.45,523.7,1838.0,22.6,33.7
683.29,3.5,3.45,523.1,1832.0,22.6,33.7
685.3,3.51,3.46,523.1,1836.0,22.6,33.8
687.31,3.51,3.46,523.1,1836.0,22.6,33.4
689.32,3.51,3.46,523.8,1838.0,22.6,33.8
691.34,3.51,3.46,523.6,1838.0,22.6,33.5
693.34,3.51,3.46,523.5,1836.0,22.6,33.7
695.35,3.51,3.46,522.8,1836.0,22.6,33.6
697.36,3.51,3.46,523.5,1838.0,22.6,33.4
699.38,3.52,3.46,523.8,1838.0,22.6,33.5
701.38,3.52,3.46,523.6,1842.0,22.6,33.3
703.39,3.52,3.46,523.5,1842.0,22.6,33.6
